interpro,short_name,type,xrefdb,xref
IPR000001,Kringle,Domain,PFAM,PF00051
IPR000001,Kringle,Domain,PROFILE,PS50070
IPR000001,Kringle,Domain,SMART,SM00130
IPR000001,Kringle,Domain,CDD,cd00108
IPR000007,Tubby_C,Domain,PFAM,PF01167
IPR000007,Tubby_C,Domain,PRINTS,PR01573
IPR000008,C2_dom,Domain,PFAM,PF00168
IPR000008,C2_dom,Domain,PRINTS,PR00360
IPR000008,C2_dom,Domain,PROFILE,PS50004
IPR000008,C2_dom,Domain,SMART,SM00239
IPR000010,Cystatin_dom,Domain,PFAM,PF00031
IPR000010,Cystatin_dom,Domain,PFAM,PF16845
IPR000010,Cystatin_dom,Domain,SMART,SM00043
IPR000010,Cystatin_dom,Domain,CDD,cd00042
IPR000012,RetroV_VpR/X,Family,HAMAP,MF_04080
IPR000012,RetroV_VpR/X,Family,PFAM,PF00522
IPR000012,RetroV_VpR/X,Family,PRINTS,PR00444
IPR000013,Peptidase_M7,Family,PFAM,PF02031
IPR000013,Peptidase_M7,Family,PIRSF,PIRSF016573
IPR000013,Peptidase_M7,Family,PRINTS,PR00787
IPR000014,PAS,Domain,PFAM,PF13188
IPR000014,PAS,Domain,PFAM,PF13426
IPR000014,PAS,Domain,PROFILE,PS50112
IPR000014,PAS,Domain,SMART,SM00091
IPR000014,PAS,Domain,TIGRFAMs,TIGR00229
IPR000014,PAS,Domain,CDD,cd00130
IPR000015,Fimb_usher,Family,PFAM,PF00577
IPR000015,Fimb_usher,Family,PANTHER,PTHR30451
IPR000020,Anaphylatoxin/fibulin,Domain,PFAM,PF01821
IPR000020,Anaphylatoxin/fibulin,Domain,PROSITE,PS01177
IPR000020,Anaphylatoxin/fibulin,Domain,PROFILE,PS01178
IPR000020,Anaphylatoxin/fibulin,Domain,SMART,SM00104
IPR000020,Anaphylatoxin/fibulin,Domain,CDD,cd00017
IPR000021,Hok/gef_toxin,Family,PFAM,PF01848
IPR000021,Hok/gef_toxin,Family,PRINTS,PR00281
IPR000023,Phosphofructokinase_dom,Domain,PFAM,PF00365
IPR000026,Gua-sp_ribonuclease_N1/T1/U2,Family,PFAM,PF00545
IPR000026,Gua-sp_ribonuclease_N1/T1/U2,Family,PIRSF,PIRSF037430
IPR000028,Chloroperoxidase,Domain,PFAM,PF01328
IPR000028,Chloroperoxidase,Domain,PROFILE,PS51405
IPR000030,PPE_family,Domain,PFAM,PF00823
IPR000031,PurE_dom,Domain,PFAM,PF00731
IPR000031,PurE_dom,Domain,SMART,SM01001
IPR000031,PurE_dom,Domain,TIGRFAMs,TIGR01162
IPR000032,HPr-like,Domain,PFAM,PF00381
IPR000032,HPr-like,Domain,PRINTS,PR00107
IPR000032,HPr-like,Domain,PROFILE,PS51350
IPR000032,HPr-like,Domain,TIGRFAMs,TIGR01003
IPR000032,HPr-like,Domain,CDD,cd00367
IPR000033,LDLR_classB_rpt,Repeat,PFAM,PF00058
IPR000033,LDLR_classB_rpt,Repeat,PROFILE,PS51120
IPR000033,LDLR_classB_rpt,Repeat,SMART,SM00135
IPR000034,Laminin_IV,Domain,PFAM,PF00052
IPR000034,Laminin_IV,Domain,PROFILE,PS51115
IPR000034,Laminin_IV,Domain,SMART,SM00281
IPR000036,Peptidase_A26_omptin,Family,PFAM,PF01278
IPR000036,Peptidase_A26_omptin,Family,PIRSF,PIRSF001522
IPR000036,Peptidase_A26_omptin,Family,PRINTS,PR00482
IPR000037,SsrA-bd_prot,Family,HAMAP,MF_00023
IPR000037,SsrA-bd_prot,Family,PFAM,PF01668
IPR000037,SsrA-bd_prot,Family,PANTHER,PTHR30308
IPR000037,SsrA-bd_prot,Family,TIGRFAMs,TIGR00086
IPR000037,SsrA-bd_prot,Family,CDD,cd09294
IPR000043,Adenosylhomocysteinase-like,Family,HAMAP,MF_00563
IPR000043,Adenosylhomocysteinase-like,Family,PFAM,PF05221
IPR000043,Adenosylhomocysteinase-like,Family,PIRSF,PIRSF001109
IPR000043,Adenosylhomocysteinase-like,Family,PANTHER,PTHR23420
IPR000043,Adenosylhomocysteinase-like,Family,SMART,SM00996
IPR000043,Adenosylhomocysteinase-like,Family,TIGRFAMs,TIGR00936
IPR000043,Adenosylhomocysteinase-like,Family,CDD,cd00401
IPR000045,Prepilin_IV_endopep_pep,Domain,PFAM,PF01478
IPR000048,IQ_motif_EF-hand-BS,Binding_site,PFAM,PF00612
IPR000048,IQ_motif_EF-hand-BS,Binding_site,PROFILE,PS50096
IPR000048,IQ_motif_EF-hand-BS,Binding_site,SMART,SM00015
IPR000052,Pltvir_coat,Domain,PFAM,PF00286
