Convergently-targeted host domain,DDIs mapped to eukaryote-endogenous PPIs,DDIs mapped to eukaryote-endogenous and bacteria-endogenous PPIs,# DDIs mapped to eukaryote-endogenous PPIs,# DDIs mapped to eukaryote-endogenous and bacteria-endogenous PPIs,Host-pathogen PPIs (PMIDs)
PF07686,PF07686_PF00001; PF07686_PF00002; PF07686_PF00005; PF07686_PF00008; PF07686_PF00014; PF07686_PF00019; PF07686_PF00020; PF07686_PF00021; PF07686_PF00022; PF07686_PF00023; PF07686_PF00026; PF07686_PF00028; PF07686_PF00041; PF07686_PF00047; PF07686_PF00048; PF07686_PF00051; PF07686_PF00058; PF07686_PF00061; PF07686_PF00066; PF07686_PF00069; PF07686_PF00071; PF07686_PF00074; PF07686_PF00079; PF07686_PF00083; PF07686_PF00085; PF07686_PF00089; PF07686_PF00090; PF07686_PF00092; PF07686_PF00112; PF07686_PF00125; PF07686_PF00129; PF07686_PF00135; PF07686_PF00147; PF07686_PF00149; PF07686_PF00153; PF07686_PF00173; PF07686_PF00200; PF07686_PF00207; PF07686_PF00229; PF07686_PF00240; PF07686_PF00243; PF07686_PF00246; PF07686_PF00273; PF07686_PF00274; PF07686_PF00337; PF07686_PF00339; PF07686_PF00341; PF07686_PF00362; PF07686_PF00377; PF07686_PF00400; PF07686_PF00412; PF07686_PF00413; PF07686_PF00431; PF07686_PF00503; PF07686_PF00520; PF07686_PF00571; PF07686_PF00613; PF07686_PF00619; PF07686_PF00628; PF07686_PF00664; PF07686_PF00688; PF07686_PF00754; PF07686_PF00757; PF07686_PF00810; PF07686_PF00870; PF07686_PF00955; PF07686_PF00969; PF07686_PF00993; PF07686_PF01030; PF07686_PF01064; PF07686_PF01094; PF07686_PF01130; PF07686_PF01344; PF07686_PF01391; PF07686_PF01403; PF07686_PF01404; PF07686_PF01421; PF07686_PF01485; PF07686_PF01490; PF07686_PF01740; PF07686_PF01764; PF07686_PF01821; PF07686_PF01833; PF07686_PF02201; PF07686_PF02221; PF07686_PF02244; PF07686_PF02752; PF07686_PF02793; PF07686_PF02931; PF07686_PF04103; PF07686_PF04678; PF07686_PF05790; PF07686_PF07654; PF07686_PF07679; PF07686_PF07686; PF07690_PF07686; PF07703_PF07686; PF08204_PF07686; PF08205_PF07686; PF09291_PF07686; PF11465_PF07686; PF11573_PF07686; PF11629_PF07686; PF12799_PF07686; PF12947_PF07686; PF13306_PF07686; PF13424_PF07686; PF13499_PF07686; PF13520_PF07686; PF13637_PF07686; PF13855_PF07686; PF13895_PF07686; PF13927_PF07686; PF15910_PF07686; PF16497_PF07686; PF17789_PF07686; PF17790_PF07686; PF17791_PF07686; PF17820_PF07686; PF18108_PF07686; PF18487_PF07686; PF18589_PF07686,,122,0,P42081_P01552 (27708164)
PF00071,PF00071_PF00023; PF00071_PF00041; PF00071_PF00069; PF00071_PF00071; PF00159_PF00071; PF00169_PF00071; PF00373_PF00071; PF00415_PF00071; PF00454_PF00071; PF00514_PF00071; PF00515_PF00071; PF00566_PF00071; PF00595_PF00071; PF00616_PF00071; PF00617_PF00071; PF00618_PF00071; PF00620_PF00071; PF00621_PF00071; PF00638_PF00071; PF00641_PF00071; PF00786_PF00071; PF00788_PF00071; PF00794_PF00071; PF00996_PF00071; PF01833_PF00071; PF01843_PF00071; PF02115_PF00071; PF02136_PF00071; PF02141_PF00071; PF02145_PF00071; PF02185_PF00071; PF02196_PF00071; PF02204_PF00071; PF02318_PF00071; PF02661_PF00071; PF02759_PF00071; PF03378_PF00071; PF03455_PF00071; PF03456_PF00071; PF03759_PF00071; PF03810_PF00071; PF04051_PF00071; PF04099_PF00071; PF04421_PF00071; PF05276_PF00071; PF05351_PF00071; PF06367_PF00071; PF06371_PF00071; PF06428_PF00071; PF06456_PF00071; PF06920_PF00071; PF07686_PF00071; PF07719_PF00071; PF08174_PF00071; PF08337_PF00071; PF08389_PF00071; PF08506_PF00071; PF08767_PF00071; PF08912_PF00071; PF09027_PF00071; PF09311_PF00071; PF09457_PF00071; PF11461_PF00071; PF11464_PF00071; PF12068_PF00071; PF12130_PF00071; PF12796_PF00071; PF13181_PF00071; PF13426_PF00071; PF13516_PF00071; PF13637_PF00071; PF15277_PF00071; PF16186_PF00071; PF16511_PF00071; PF16704_PF00071; PF17787_PF00071; PF17838_PF00071; PF18773_PF00071; PF18777_PF00071; PF18784_PF00071; PF18806_PF00071; PF18808_PF00071,,82,0,P60953_Q6XVY7 (19620963)
PF00022,PF00022_PF00022; PF00059_PF00022; PF00063_PF00022; PF00069_PF00022; PF00129_PF00022; PF00132_PF00022; PF00149_PF00022; PF00176_PF00022; PF00235_PF00022; PF00241_PF00022; PF00261_PF00022; PF00273_PF00022; PF00307_PF00022; PF00400_PF00022; PF00583_PF00022; PF00620_PF00022; PF00626_PF00022; PF01044_PF00022; PF01115_PF00022; PF01213_PF00022; PF01267_PF00022; PF01290_PF00022; PF02181_PF00022; PF02205_PF00022; PF02755_PF00022; PF03250_PF00022; PF03372_PF00022; PF03915_PF00022; PF04045_PF00022; PF04062_PF00022; PF04699_PF00022; PF04912_PF00022; PF05856_PF00022; PF06068_PF00022; PF07529_PF00022; PF07679_PF00022; PF07686_PF00022; PF08265_PF00022; PF08385_PF00022; PF08603_PF00022; PF09164_PF00022; PF09510_PF00022; PF13833_PF00022; PF13892_PF00022,,44,0,P68135_C5IZN1 (23912276)
PF00179,PF00179_PF00097; PF00179_PF00179; PF00240_PF00179; PF00400_PF00179; PF00627_PF00179; PF00632_PF00179; PF00899_PF00179; PF01754_PF00179; PF02262_PF00179; PF02747_PF00179; PF02891_PF00179; PF03810_PF00179; PF04564_PF00179; PF05773_PF00179; PF07834_PF00179; PF08389_PF00179; PF08672_PF00179; PF08825_PF00179; PF09358_PF00179; PF10275_PF00179; PF10557_PF00179; PF11793_PF00179; PF11976_PF00179; PF12185_PF00179; PF12678_PF00179; PF12827_PF00179; PF12861_PF00179; PF13445_PF00179; PF13639_PF00179; PF13920_PF00179; PF13923_PF00179; PF14324_PF00179; PF14447_PF00179; PF14570_PF00179; PF14732_PF00179; PF15227_PF00179; PF17978_PF00179; PF18091_PF00179; PF18442_PF00179; PF18499_PF00179; PF18773_PF00179,,41,0,P62837_Q5X159 (26146184)
PF07654,PF07654_PF00019; PF07654_PF00020; PF07654_PF00041; PF07654_PF00047; PF07654_PF00059; PF07654_PF00062; PF07654_PF00079; PF07654_PF00092; PF07654_PF00129; PF07654_PF00173; PF07654_PF00194; PF07654_PF00209; PF07654_PF00273; PF07654_PF00386; PF07654_PF00622; PF07654_PF00757; PF07654_PF00969; PF07654_PF00993; PF07654_PF01030; PF07654_PF01064; PF07654_PF01094; PF07654_PF02793; PF07654_PF07654; PF07686_PF07654; PF09291_PF07654; PF09294_PF07654; PF12796_PF07654; PF13765_PF07654; PF13895_PF07654; PF13927_PF07654; PF14843_PF07654; PF16497_PF07654; PF18108_PF07654,,33,0,P01857_P38507 (20214683;7236608)
PF00089,PF00089_PF00008; PF00089_PF00014; PF00089_PF00018; PF00089_PF00042; PF00089_PF00050; PF00089_PF00051; PF00089_PF00057; PF00089_PF00079; PF00089_PF00084; PF00089_PF00089; PF00092_PF00089; PF00095_PF00089; PF00197_PF00089; PF00228_PF00089; PF00280_PF00089; PF00299_PF00089; PF00595_PF00089; PF01108_PF00089; PF01403_PF00089; PF01826_PF00089; PF01835_PF00089; PF05375_PF00089; PF07648_PF00089; PF07677_PF00089; PF07686_PF00089; PF08702_PF00089; PF09064_PF00089; PF13180_PF00089; PF13855_PF00089; PF14670_PF00089; PF17790_PF00089,,31,0,P00734_Q846V4 (16230339;16230340)
PF00169,PF00169_PF00018; PF00169_PF00025; PF00169_PF00069; PF00169_PF00071; PF00169_PF00125; PF00169_PF00130; PF00169_PF00169; PF00307_PF00169; PF00373_PF00169; PF00400_PF00169; PF00498_PF00169; PF00621_PF00169; PF00787_PF00169; PF00788_PF00169; PF01031_PF00169; PF01369_PF00169; PF01412_PF00169; PF01852_PF00169; PF02174_PF00169; PF02212_PF00169; PF07714_PF00169; PF11971_PF00169; PF14604_PF00169; PF16746_PF00169,,24,0,Q8IWE5_A0A0F6B063 (18787122;18996344)
PF00092,PF00092_PF00059; PF00092_PF00084; PF00092_PF00089; PF00092_PF00090; PF00092_PF00092; PF00362_PF00092; PF00520_PF00092; PF01462_PF00092; PF01759_PF00092; PF03921_PF00092; PF07654_PF00092; PF07678_PF00092; PF07686_PF00092; PF07965_PF00092; PF13855_PF00092,,15,0,Q9H6X2_P13423 (14507921)
PF07714,PF07714_PF00017; PF07714_PF00018; PF07714_PF00069; PF07714_PF00102; PF07714_PF00130; PF07714_PF00169; PF07714_PF00241; PF07714_PF00244; PF07714_PF00254; PF07714_PF00307; PF07714_PF00373; PF07714_PF07714; PF08947_PF07714; PF11555_PF07714; PF14604_PF07714,,15,0,Q40234_Q08242 (17694048)
PF00084,PF00084_PF00008; PF00084_PF00057; PF00084_PF00084; PF00089_PF00084; PF00092_PF00084; PF00207_PF00084; PF00530_PF00084; PF00715_PF00084; PF01759_PF00084; PF01835_PF00084; PF07678_PF00084; PF07703_PF00084; PF17789_PF00084; PF17790_PF00084,,14,0,P08603_Q9JXV4 (19225461)
