Horizontally-acquired host domain,DDIs mapped to eukaryote-endogenous PPIs,DDIs mapped to eukaryote-endogenous and bacteria-endogenous PPIs,# DDIs mapped to eukaryote-endogenous PPIs,# DDIs mapped to eukaryote-endogenous and bacteria-endogenous PPIs,Host-pathogen PPIs (PMIDs)
PF12796,PF12796_PF00018; PF12796_PF00023; PF12796_PF00025; PF12796_PF00036; PF12796_PF00041; PF12796_PF00062; PF12796_PF00069; PF12796_PF00071; PF12796_PF00091; PF12796_PF00149; PF12796_PF00178; PF12796_PF00412; PF12796_PF00452; PF12796_PF00514; PF12796_PF00656; PF12796_PF00782; PF12796_PF00856; PF12796_PF00870; PF12796_PF00957; PF12796_PF01030; PF12796_PF01115; PF12796_PF01267; PF12796_PF01392; PF12796_PF01403; PF12796_PF01412; PF12796_PF01636; PF12796_PF01734; PF12796_PF01803; PF12796_PF01833; PF12796_PF02259; PF12796_PF05033; PF12796_PF07650; PF12796_PF07654; PF12796_PF07679; PF12796_PF08344; PF12796_PF09067; PF12796_PF09270; PF12796_PF09271; PF12796_PF09596; PF12796_PF12796; PF13499_PF12796; PF13621_PF12796; PF13637_PF12796; PF13774_PF12796; PF13857_PF12796; PF14604_PF12796; PF15511_PF12796; PF16179_PF12796; PF16516_PF12796; PF17862_PF12796,,50,0,O94921_Q83DF6 (29176882)
PF00092,PF00092_PF00059; PF00092_PF00084; PF00092_PF00089; PF00092_PF00090; PF00092_PF00092; PF00362_PF00092; PF00520_PF00092; PF01462_PF00092; PF01759_PF00092; PF03921_PF00092; PF07654_PF00092; PF07678_PF00092; PF07686_PF00092; PF07965_PF00092; PF13855_PF00092,,15,0,O75094_Q7CGD5 (21911467)
PF12799,PF12799_PF00018; PF12799_PF00028; PF12799_PF01833; PF12799_PF04857; PF12799_PF07686; PF12799_PF12777; PF14580_PF12799,,7,0,P12830_P0DJM0 (12526809;17715295)
PF02205,PF02205_PF00022; PF02205_PF02205; PF05994_PF02205,,3,0,P68135_C5IZN1 (23912276)
PF04564,PF04564_PF00179; PF04564_PF00183; PF13414_PF04564,,3,0,P62837_Q5X159 (26146184)
PF00646,PF00646_PF00240; PF01466_PF00646,,2,0,O49484_Q8XZN8 (16983093)
PF13676,PF13676_PF13676,,1,0,P58753_Q8YF53 (24275656)
PF00069,PF00069_PF00022; PF00069_PF00023; PF00069_PF00027; PF00069_PF00036; PF00069_PF00041; PF00071_PF00069; PF00076_PF00069; PF00130_PF00069; PF00134_PF00069; PF00169_PF00069; PF00183_PF00069; PF00226_PF00069; PF00240_PF00069; PF00254_PF00069; PF00481_PF00069; PF00536_PF00069; PF00564_PF00069; PF00575_PF00069; PF00581_PF00069; PF00615_PF00069; PF00627_PF00069; PF00782_PF00069; PF00786_PF00069; PF00814_PF00069; PF00931_PF00069; PF01111_PF00069; PF01214_PF00069; PF01335_PF00069; PF02026_PF00069; PF02197_PF00069; PF02234_PF00069; PF02827_PF00069; PF02984_PF00069; PF02985_PF00069; PF03226_PF00069; PF03234_PF00069; PF03261_PF00069; PF03874_PF00069; PF03941_PF00069; PF04272_PF00069; PF04739_PF00069; PF05110_PF00069; PF05350_PF00069; PF05706_PF00069; PF05729_PF00069; PF06391_PF00069; PF07535_PF00069; PF07679_PF00069; PF07686_PF00069; PF07714_PF00069; PF08565_PF00069; PF08569_PF00069; PF08613_PF00069; PF09041_PF00069; PF10434_PF00069; PF11357_PF00069; PF11610_PF00069; PF12330_PF00069; PF12796_PF00069; PF13202_PF00069; PF13405_PF00069; PF13499_PF00069; PF13516_PF00069; PF13637_PF00069; PF13646_PF00069; PF13833_PF00069; PF13857_PF00069; PF15170_PF00069; PF15342_PF00069; PF16517_PF00069; PF16561_PF00069; PF16899_PF00069; PF18101_PF00069,PF00069_PF00069; PF00498_PF00069,73,2,P68135_Q93KQ6 (25664724)
PF00583,PF00583_PF00022; PF00583_PF00244; PF00583_PF00249; PF00583_PF00400; PF04762_PF00583; PF12569_PF00583; PF13181_PF00583; PF13193_PF00583,PF00583_PF00583,8,1,Q99NB1_Q8ZMX2 (16790548)
PF00183,PF00183_PF00069; PF00515_PF00183; PF03234_PF00183; PF04564_PF00183; PF04968_PF00183; PF08565_PF00183; PF09229_PF00183; PF12895_PF00183; PF13414_PF00183; PF13589_PF00183,PF00183_PF00183; PF02518_PF00183,10,2,O75116_Q5NHT8 (26714771)
PF13472,PF13472_PF00400,PF13472_PF13472,1,1,Q15291_A0A0H3LBL5 (30118682)
PF00085,PF00085_PF00001; PF00197_PF00085; PF00554_PF00085; PF01347_PF00085; PF01507_PF00085; PF02752_PF00085; PF03372_PF00085; PF07686_PF00085; PF13499_PF00085,PF00085_PF00076; PF00085_PF00085; PF00091_PF00085; PF00226_PF00085; PF00578_PF00085; PF01625_PF00085; PF02852_PF00085; PF07992_PF00085; PF08534_PF00085; PF10417_PF00085,9,10,Q16881_A0A0H3LFI2 (30118682)
